# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-Mineplex-Core-Patch

chat.off.lvl, boolean, 00
kamien.kasp3r3k, double, 4082A80000000000
kamien.kraftowany, double, 409C0C0000000000
kamien.kupis01, double, 4071100000000000
lapis.<player>, long, 0000000000000000
lapis.kasp3r3k, double, 4024000000000000
message, double, 4000000000000000
moze.naprawa.vip.<player>, boolean, 01
moze.naprawa.vip.redziel, boolean, 00
ochrona.kraftowany, double, C0A68C0000000000
odwiedziny, long, 0000000000000000
odwiedziny.<player>, long, 0000000000000000
odwiedziny.dawon123, double, 4010000000000000
odwiedziny.kasp3r3k, double, 3FF0000000000000
odwiedziny.kraftowany, double, 4056800000000000
odwiedziny.mrmusiek, double, 4008000000000000
odwiedziny.pepq_, double, 4000000000000000
odwiedziny.revist1337, double, 4000000000000000
odwiedziny.rqb, double, 4008000000000000
odwiedziny.shamonfejm, double, 3FF0000000000000
odwiedziny.szwagru, double, 4024000000000000
odwiedziny.tomson_, double, 3FF0000000000000
odwiedziny.xpatrykplayx, double, 4032000000000000
praca.budowniczy.<player>, boolean, 00
praca.drwal.<player>, boolean, 00
praca.gornik.<player>, boolean, 00
praca.kopacz.<player>, boolean, 00
praca.lowca.<player>, boolean, 00
praca.wybierz.<player>, boolean, 00
praca.zabojca.<player>, boolean, 00
redstone.<player>, long, 0000000000000000
redstone.kasp3r3k, double, 4018000000000000
redstone.kraftowany, double, 4008000000000000
spam.10msmaenda.lastused, date, 810974696D657374616D700400000160E15D26BC
spam.12koyt34.lastused, date, 810974696D657374616D700400000160E61B6B52
spam.4get4up.lastused, date, 810974696D657374616D700400000160E133732D
spam._tygrysek1337_.lastused, date, 810974696D657374616D700400000160E56F1B11
spam.agroteamtv.lastused, date, 810974696D657374616D700400000160E5DB88CB
spam.asaelko.lastused, date, 810974696D657374616D700400000160E116D479
spam.dawon123.lastused, date, 810974696D657374616D700400000160E17BC99F
spam.deknes.lastused, date, 810974696D657374616D700400000160E22D18F9
spam.dodmeister.lastused, date, 810974696D657374616D700400000160E61ABC4A
spam.elotuwenomek4.lastused, date, 810974696D657374616D700400000160E1E04C37
spam.helixpl.lastused, date, 810974696D657374616D700400000160E16B300F
spam.kasp3r3k.lastused, date, 810974696D657374616D70040000015BEDECC073
spam.kraftowany.lastused, date, 810974696D657374616D700400000160E5FD8FA9
spam.kyosche.lastused, date, 810974696D657374616D700400000160E1855FA4
spam.malyokularnik_.lastused, date, 810974696D657374616D700400000160E56725F1
spam.marcinek02096.lastused, date, 810974696D657374616D700400000160E2010D75
spam.mctian0sik.lastused, date, 810974696D657374616D70040000015BDAB00DAE
spam.mi1kumahaksy.lastused, date, 810974696D657374616D700400000160E16F6440
spam.mialkosowy.lastused, date, 810974696D657374616D700400000160E1AD84E5
spam.neewil.lastused, date, 810974696D657374616D700400000160E566DD20
spam.pepq_.lastused, date, 810974696D657374616D70040000015BCF1DA9E4
spam.rqb.lastused, date, 810974696D657374616D700400000160E1FB4BF5
spam.rufuzx.lastused, date, 810974696D657374616D700400000160E2239D0B
spam.rycerzjanek.lastused, date, 810974696D657374616D700400000160E1CEFD0E
spam.stivek1337.lastused, date, 810974696D657374616D700400000160E606B88D
spam.szwagru.lastused, date, 810974696D657374616D70040000015BE8BB71FB
spam.szymooh.lastused, date, 810974696D657374616D700400000160E54C85D7
spam.tomiihax.lastused, date, 810974696D657374616D700400000160E13646F7
spam.tomson_.lastused, date, 810974696D657374616D70040000015BD4C6AE98
spam.topowygracz.lastused, date, 810974696D657374616D700400000160E5FBAFFC
spam.vesaczi_1337.lastused, date, 810974696D657374616D700400000160E153EF2C
spam.xpatrykplayx.lastused, date, 810974696D657374616D700400000160E1CF062A
spam.young_szczurek.lastused, date, 810974696D657374616D700400000160E1429F02
spawn, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094091AE3C7227D7180179094050000000000000017A09C0A59CAD7F61C68505706974636808409291760379617708C2B5CDBA
wegiel.<player>, long, 0000000000000000
wegiel.kasp3r3k, double, 4018000000000000
wegiel.kraftowany, double, 403D000000000000
wegiel.kupis01, double, 4000000000000000
zelazo.<player>, long, 0000000000000000
zelazo.kasp3r3k, double, 4030000000000000
zelazo.kraftowany, double, 4053400000000000
zelazo.kupis01, double, 4008000000000000
zloto.<player>, long, 0000000000000000
zloto.kasp3r3k, double, 4008000000000000
zloto.kraftowany, double, 4033000000000000
zloto.kupis01, double, 4008000000000000

chat.czas::mily_siusiaczeq, null, 
chat.czas::707swiezyyy, null, 
message, double, 4008000000000000
chat.czas::707swiezyyy, null, 
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
chat.czas::mily_siusiaczeq, null, 
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
