# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-Mineplex-Core-Patch

antylogout::drozdzik, double, 4008000000000000
spam.pepq_.lastused, date, 810974696D657374616D70040000015BCF1DA9E4
spam.rqb.lastused, date, 810974696D657374616D700400000160E1FB4BF5
spam.rufuzx.lastused, date, 810974696D657374616D700400000160E2239D0B
spam.rycerzjanek.lastused, date, 810974696D657374616D700400000160E1CEFD0E
spam.stivek1337.lastused, date, 810974696D657374616D700400000160E606B88D
spam.szwagru.lastused, date, 810974696D657374616D70040000015BE8BB71FB
spam.szymooh.lastused, date, 810974696D657374616D700400000160E54C85D7
spam.tomiihax.lastused, date, 810974696D657374616D700400000160E13646F7
spam.tomson_.lastused, date, 810974696D657374616D70040000015BD4C6AE98
spam.topowygracz.lastused, date, 810974696D657374616D700400000160E5FBAFFC
spam.vesaczi_1337.lastused, date, 810974696D657374616D700400000160E153EF2C
spam.xpatrykplayx.lastused, date, 810974696D657374616D700400000160E1CF062A
spam.young_szczurek.lastused, date, 810974696D657374616D700400000160E1429F02
spawn, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094091AE3C7227D7180179094050000000000000017A09C0A59CAD7F61C68505706974636808409291760379617708C2B5CDBA
wegiel.<player>, long, 0000000000000000
wegiel.kasp3r3k, double, 4018000000000000
wegiel.kraftowany, double, 403D000000000000
wegiel.kupis01, double, 4000000000000000
zelazo.<player>, long, 0000000000000000
zelazo.kasp3r3k, double, 4030000000000000
zelazo.kraftowany, double, 4053400000000000
zelazo.kupis01, double, 4008000000000000
zloto.<player>, long, 0000000000000000
zloto.kasp3r3k, double, 4008000000000000
zloto.kraftowany, double, 4033000000000000
zloto.kupis01, double, 4008000000000000

message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
message, double, 4018000000000000
message, long, 0000000000000000
message, double, 3FF0000000000000
message, double, 4000000000000000
message, double, 4008000000000000
message, double, 4010000000000000
message, double, 4014000000000000
